Z-Score Calculation Summary
====================================================================================================
Ticker: GAB
NAV Symbol: XGABX
Start Date: 2022-12-22
End Date: 2025-12-22
Data Points: 751
Current Premium/Discount: 9.20353982% (0.092035)
Average Premium/Discount: 4.50892050% (0.045089)
STDEV.P: 3.81880137% (0.038188)
Z-Score: 1.22934368

====================================================================================================
Daily Price and NAV Data (3-Year Window)
====================================================================================================
Date,Price,NAV,Premium/Discount (Decimal),Premium/Discount (%)
2023-12-28,5.1300,5.2100,-0.01535509,-1.53550864%
2023-12-29,5.0800,5.1900,-0.02119461,-2.11946050%
2024-01-02,5.0500,5.1700,-0.02321083,-2.32108317%
2024-01-03,5.0000,5.1000,-0.01960784,-1.96078431%
2024-01-04,4.9900,5.0900,-0.01964637,-1.96463654%
2024-01-05,4.9700,5.0900,-0.02357564,-2.35756385%
2024-01-08,5.0200,5.1600,-0.02713178,-2.71317829%
2024-01-09,5.0100,5.1200,-0.02148438,-2.14843750%
2024-01-10,5.0200,5.1300,-0.02144250,-2.14424951%
2024-01-11,5.0200,5.1200,-0.01953125,-1.95312500%
2024-01-12,5.0000,5.1300,-0.02534113,-2.53411306%
2024-01-16,5.0000,5.0800,-0.01574803,-1.57480315%
2024-01-17,5.0400,5.0500,-0.00198020,-0.19801980%
2024-01-18,5.0700,5.0900,-0.00392927,-0.39292731%
2024-01-19,5.0700,5.1400,-0.01361868,-1.36186770%
2024-01-22,5.1000,5.1600,-0.01162791,-1.16279070%
2024-01-23,5.1100,5.1800,-0.01351351,-1.35135135%
2024-01-24,5.0800,5.1500,-0.01359223,-1.35922330%
2024-01-25,5.1200,5.1900,-0.01348748,-1.34874759%
2024-01-26,5.1100,5.2300,-0.02294455,-2.29445507%
2024-01-29,5.1700,5.2600,-0.01711027,-1.71102662%
2024-01-30,5.1400,5.2800,-0.02651515,-2.65151515%
2024-01-31,5.1100,5.2100,-0.01919386,-1.91938580%
2024-02-01,5.1700,5.3000,-0.02452830,-2.45283019%
2024-02-02,5.1800,5.2900,-0.02079395,-2.07939509%
2024-02-05,5.1900,5.2300,-0.00764818,-0.76481836%
2024-02-06,5.2200,5.2700,-0.00948767,-0.94876660%
2024-02-07,5.2600,5.2800,-0.00378788,-0.37878788%
2024-02-08,5.2900,5.2900,0.00000000,0.00000000%
2024-02-09,5.2600,5.3000,-0.00754717,-0.75471698%
2024-02-12,5.2900,5.3300,-0.00750469,-0.75046904%
